Strategy: Price moved. Canceling orders for requote if open orders. Current open orders=0 and current mid bucket=24
Strategy: Calculated quotes: bid=0.23, ask=0.25 and best bid=0.23, best ask=0.25 should requote=true open orders=0 yes_token=55998363602002924667053814952841858738004742857803945859381533344522326498583
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=24, best bid=0.23, best ask=0.25 last mid bucket=Some(24)
Strategy: Price moved. Canceling orders for requote if open orders. Current open orders=1 and current mid bucket=25
Strategy: Price moved. Canceling orders for requote.
Strategy: Calculated quotes: bid=0.24, ask=0.25 and best bid=0.24, best ask=0.25 should requote=true open orders=1 yes_token=55998363602002924667053814952841858738004742857803945859381533344522326498583
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Exec: Canceled all orders
Exec: Posted order: Object {"errorMsg": String(""), "makingAmount": String(""), "orderID": String("0x74e752cc98dc6116208077d82fd9c4ac5f71ad8ac95bbafdb30419ecceb27dec"), "status": String("live"), "success": Bool(true), "takingAmount": String("")}Strategy: Price not moved. Returning. Current open orders=0 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)

Exec: Placed order successfully with ID: 0x74e752cc98dc6116208077d82fd9c4ac5f71ad8ac95bbafdb30419ecceb27dec
Strategy: Price not moved. Returning. Current open orders=0 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=0 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=0 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Exec: Posted order: Object {"errorMsg": String(""), "makingAmount": String(""), "orderID": String("0x12b6cb21d07cbc27e0352eec8f3399a1d46664993b7d6f3e9e5681dd87051bfa"), "status": String("live"), "success": Bool(true), "takingAmount": String("")}
Exec: Placed order successfully with ID: 0x12b6cb21d07cbc27e0352eec8f3399a1d46664993b7d6f3e9e5681dd87051bfa
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
Strategy: Price not moved. Returning. Current open orders=1 and current mid bucket=25, best bid=0.24, best ask=0.25 last mid bucket=Some(25)
